"year" "GDPpercap" "Tourists" "Temp" "global_means_urban" "global_means_past" "global_means_crop" "pop_global" "migration" "shipcalls" "import"
1946 3206.33416875522 NA 4.9526298273355 0.00390422535211268 0.111519366197183 0.0865591549295775 NA 676 702 0.00723038323477471
1947 3329.83646616541 NA 5.27057463712993 0.00394225352112676 0.112623943661972 0.0871573943661972 NA 693 262 0.0110779565686312
1948 3369.34580498866 NA 4.82652600705626 0.00397887323943662 0.113727464788732 0.0877514084507042 NA 679 15 0.0144390404436708
1949 3499.90952380952 NA 4.82515743970873 0.00401549295774648 0.114832746478873 0.0883524647887324 NA 664 35 0.0151185207404212
1950 3640.04888069358 NA 4.74654840156438 0.00405669014084507 0.11593661971831 0.0889454225352113 2.49460369817076 661 61 0.0199232826499189
1951 3688.94822440543 NA 5.10176967494192 0.0041193661971831 0.118225352112676 0.0902848591549296 NA 687 113 0.027316544734312
1952 3752.59656029357 NA 5.23331023231151 0.00417781690140845 0.120514084507042 0.0916207746478873 NA 666 264 0.0268284853131744
1953 3853.98102222355 NA 4.98103092275562 0.00424084507042254 0.12280176056338 0.0929542253521127 NA 736 417 0.0257553623927954
1954 3998.15986406408 NA 4.98493262045088 0.00430246478873239 0.125093661971831 0.0942922535211268 NA 660 347 0.0270881204879497
1955 4092.41624445904 NA 4.97505847401919 0.00436478873239437 0.127378521126761 0.0956295774647887 NA 704 357 0.0324553494416675
1956 4203.04470009158 NA 4.95620759613814 0.00442429577464789 0.129669718309859 0.0969658450704225 NA 771 359 0.0376504031267842
1957 4248.72337935313 NA 4.93373648859563 0.00448697183098592 0.131959154929577 0.0983028169014084 NA 740 295 0.0392416229720148
1958 4267.8627468546 NA 4.92091814838352 0.00454929577464789 0.134244366197183 0.0996394366197183 NA 745 292 0.036074459266219
1959 4405.67330669029 NA 4.93886685408654 0.00461161971830986 0.13653485915493 0.100975352112676 NA 752 305 0.0383024119841528
1960 4490.9791061143 NA 4.78103883974256 0.00467359154929577 0.138820422535211 0.102310563380282 2.98299159542735 807 396 0.0437500509401282
1961 4542.37547861257 NA 4.86420794427397 0.00477323943661972 0.13889823943662 0.102491549295775 NA 813 529 0.0447457979391218
1962 4672.92931713516 NA 4.93025057055058 0.00487359154929577 0.138974647887324 0.10267323943662 NA 839 469 0.0473775688573281
1963 4813.78793730424 NA 5.11305426098409 0.00497359154929577 0.139048943661972 0.102853873239437 NA 867 501 0.0515629086665625
1964 4997.6948218599 NA 5.03678851984444 0.00507183098591549 0.139123591549296 0.103032746478873 NA 823 464 0.0579910520558142
1965 5163.15566770186 NA 4.97188134528699 0.005175 0.1392 0.103213028169014 NA 889 417 0.0630327088328596
1966 5371.99205934464 NA 4.94891811944547 0.00527676056338028 0.139273591549296 0.103392253521127 NA 885 485 0.0696788301327475
1967 5459.10895611031 NA 5.09953804537656 0.00537887323943662 0.139348591549296 0.103574647887324 NA 983 475 0.0744618969378971
1968 5639.50577238281 NA 5.10260492786767 0.00548028169014084 0.139425 0.103751408450704 NA 973 600 0.0963108116707285
1969 5869.22193024367 NA 5.20306966304781 0.00558098591549296 0.1395 0.103934154929577 NA 941 628 0.109917559783329
1970 6037.97340506716 NA 4.92211865484717 0.00567922535211268 0.13957676056338 0.104111971830986 3.63807455718387 1011 1108 0.128154782694824
1971 6262.2024390163 NA 4.85576027855279 0.0057669014084507 0.139663732394366 0.104207394366197 NA 971 1056 0.143314351630822
1972 6473.29287771407 NA 4.93968762494626 0.00585704225352113 0.139746830985916 0.104299647887324 NA 914 923 0.164512509261566
1973 6559.25320263022 NA 4.88193019144239 0.00594366197183099 0.139834507042254 0.104393309859155 NA 1020 823 0.231568334234276
1974 6816.45596183708 NA 4.91687640026214 0.00603274647887324 0.139923591549296 0.104486971830986 NA 963 900 0.354436323596464
1975 6755.40195492913 NA 4.73299462385478 0.00612077464788732 0.140009507042254 0.104578873239437 NA 962 753 0.391573870419858
1976 6995.00855862133 NA 4.65190593749287 0.00620880281690141 0.1401 0.104674295774648 NA 984 1204 0.543368747703093
1977 7038.71547602457 NA 4.82730661742391 0.00630140845070423 0.140184154929577 0.104769014084507 NA 966 1585 0.640252676677961
1978 7195.88761563014 NA 4.99755338430407 0.00638943661971831 0.140268309859155 0.104861267605634 NA 937 1760 0.673161680267894
1979 7414.19891121861 NA 5.00563578903677 0.00647676056338028 0.140357394366197 0.104954929577465 NA 1024 1120 0.767371562428235
1980 7486.19152299995 NA 4.86044012606146 0.00656443661971831 0.140442957746479 0.105046830985915 4.37537800615683 1045 715 0.860475040888315
1981 7534.16204394941 NA 4.93087745867672 0.0066612676056338 0.140696830985915 0.10545176056338 NA 959 806 0.98910348900372
1982 7401.56680253623 NA 4.86800577715042 0.00675316901408451 0.140955633802817 0.105848591549296 NA 989 1521 1.0593228548191
1983 7406.55056786511 NA 4.92198518514635 0.00684929577464789 0.141211971830986 0.106248591549296 NA 992 1991 1.18447114691157
1984 7656.47928362398 NA 4.94519340097906 0.00694366197183099 0.141470774647887 0.106649647887324 NA 1032 2157 1.42887673102527
1985 7753.9255305383 NA 5.09918410554531 0.00703521126760563 0.141723591549296 0.107050352112676 NA 1062 2077 1.52215944006328
1986 7845.35089766816 NA 4.92980963587763 0.00712816901408451 0.141982746478873 0.107450704225352 NA 1040 2235 1.44652159901185
1987 8023.15966166985 NA 5.1481165442616 0.00722711267605634 0.142236971830986 0.107847535211268 NA 1007 2169 1.51390510915854
1988 8201.60916762887 NA 5.15394255369904 0.00732042253521127 0.142494366197183 0.108250352112676 NA 1074 2401 1.5919367221367
1989 8345.40811468121 NA 5.20707301460209 0.00741338028169014 0.142748943661972 0.108652112676056 NA 1075 2055 1.88272123166763
1990 8193.17664370653 NA 5.02825947701933 0.00750950704225352 0.143006690140845 0.109048943661972 5.20637114468499 1083 2113 1.95756759646822
1991 8116.581421095 NA 5.00617529302838 0.00763697183098592 0.143274295774648 0.109169366197183 NA 1019 1836 2.03997077314002
1992 8131.65371288334 NA 5.01735822707417 0.00776619718309859 0.143542957746479 0.109293661971831 NA 1110 2265 2.18603718514966
1993 8249.15321242767 NA 5.10775733962657 0.00789683098591549 0.143808098591549 0.109420070422535 NA 1162 2271 2.48383064709549
1994 8481.17189241917 NA 5.02578563094141 0.00802711267605634 0.144075352112676 0.109541901408451 NA 1242 2765 2.77007568777626
1995 8658.13226904937 198.188213 4.90219964683058 0.00815669014084507 0.144340845070423 0.10966338028169 NA 1200 2676 3.20748886525976
1996 8858.34414538764 213.047021 4.96517889983954 0.00828661971830986 0.144609507042254 0.109783098591549 NA 1188 3083 3.39485022322127
1997 9119.05379926032 219.393318 4.99117423444989 0.00841654929577465 0.144877464788732 0.109907746478873 NA 1233 2852 3.3536696283582
1998 9224.61435107767 258.086331 4.92579384185376 0.00854330985915493 0.145141901408451 0.110029929577465 NA 1210 2863 3.27224372168142
1999 9469.3125801835 271.295751 4.91052276305857 0.00867112676056338 0.145408802816901 0.110155281690141 NA 1271 3633 3.53523360799524
2000 9788.94956125799 303.499041 4.86030799373987 0.00880070422535211 0.145677112676056 0.110276408450704 6.02469676081167 1291 4164 4.27241534222182
